Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
CPCG0265	0.017900009925142697	0	0.00999516839410463	0	0	0.28269468811962245	0	0.04685522716147779	0.023273997664967475	0	0.007992548673540241	0.06291716360092255	0	0.45003386095520154	0	0	0	0.03183695648746273	0.06650037901755786	0	0	0	0.88	-0.0245	1.13494395300952
CPCG0266	0.10723528540682252	0	0.04059528150309548	0.01162987205795517	0	0.30679381270101885	0	0	0	0	0	0.05127207835924976	0	0.08678720257847714	0.003992662681554752	0.27136367299701086	0	0.03725747409966974	0.08307265761514575	0	0	0	0.98	-0.0319	1.0909285026817206
CPCG0267	0.1271885941177905	0	0.10606871543529822	0	0	0.30189052302759467	0.0035856445335615563	0.016316607913570466	0	0	0.021151936701533706	0.01841359147367747	0.009070199603755618	0	0.10236502051704117	0.10515138863666376	0	0.007338732193665391	0.12579362741042566	0	0.05566541843542184	0	0.99	-0.0389	1.1022159315890758
CPCG0268	0.11036827788253918	0	0	0	0	0.3629427333460064	0.003269135453748892	0	0	0	0.009369751713982402	0.007995496210398923	0.0016030482503081867	0.142466014099913	0.004720474769002461	0.2799790901655927	0	0.054850446921165946	0.022435531187341876	0	0	0	0.82	-0.0188	1.0973295876179443
CPCG0269	0.11741362856439691	0	0.012907050563896476	0	0	0.192807284741749	0	0.010783557117013514	0.012606942047169604	0	0	0.03685258479753267	0	0.33659568614560903	0.0024306631219924643	0.13205389141058094	0	0.03767072679776406	0.10223121741962442	0	0.00564676727267094	0	0.5	0.0058839250713375755	1.0956388436060611
CPCG0324	0.07950584192814664	0	0.01011699520581089	0.013660151167323513	0	0.3588829436658825	0	0	0.016910216382350164	0	0.056000103901588286	0	0.03963616500140245	0.057955130941267474	0.08294363799396622	0.11599739427189627	0	0	0.16419600773725682	0	0.004195411803108749	0	0.99	-0.0356	1.0922428796279053
CPCG0331	0.08791025210091323	0	0.00660011987529675	0.009990072777516911	0	0.30598471585265485	0.00982344523641225	0.010009624674987044	0.011012728686780965	0	0.06046822961615027	0.002029111866691529	0.07063857196069968	0.08341109968093663	0.031066341318551727	0.08768970867747224	0.0014339882894240789	0.01016737053727047	0.18778476184215712	0	0.02397985700608429	0	0.99	-0.0371	1.085804871324484
CPCG0333	0.12369567177245383	0	0.0003	0.004174383537413273	0	0.3208277838248324	0.034226705746336836	0	0.0861941005770132	0	0.04153628727148046	0	0.024042240018689896	0.08643895910592575	0.05575627175365027	0.09160946684686283	0	0	0.13124581933303356	0	0	0	0.96	-0.03	1.0908262526631465
CPCG0334	0.09876367940877313	0	0.0190808456135693	0	0	0.308446077646339	0	0	0.015763607440402033	0	0.03363990927129879	0	0	0.32131145002577727	0.028637013435607286	0.0891712989924904	0.009271681707746574	0.002994213229148264	0.07058685652250714	0	0.002333366706340796	0	0.98	-0.032	1.1089544691605269
CPCG0335	0.10776096900975182	0	0.011481524434889558	0.008265406882578328	0	0.33349462656076456	0	0	0	0	0	0.06788588382661388	0.031811575637546004	0.020015043517206663	0.04991092787249198	0.20298035802712713	0	0.05121675269369183	0.11517693153733824	0	0	0	0.96	-0.0308	1.0880743951536185
