ID	StromalScore	ImmuneScore	ESTIMATEScore
CPCG0455	233.982962545714	-440.005340863463	-206.022378317749
CPCG0456	117.651253380248	153.204742039963	270.855995420212
CPCG0457	-221.199564919748	-764.417411499382	-985.61697641913
CPCG0458	653.172889421453	628.587514327691	1281.76040374914
CPCG0459	214.806505032357	-450.003257046387	-235.19675201403
CPCG0462	588.783719067304	-527.484214906618	61.2995041606861
CPCG0463	480.62168117125	-606.248928139992	-125.627246968742
CPCG0464	-112.27497010656	-819.736072447713	-932.011042554273
CPCG0465	972.749214318813	445.756108500815	1418.50532281963
CPCG0466	344.752575200476	-378.192398069522	-33.439822869046
CPCG0467	727.218579801278	-104.164066988954	623.054512812324
CPCG0468	816.946296006927	-72.8664464830991	744.079849523828
CPCG0470	403.83058191939	-407.452825746252	-3.62224382686139
CPCG0471	-108.635159210245	-676.428747345741	-785.063906555985
CPCG0472	-39.9709912344885	-566.896158268646	-606.867149503134
CPCG0486	-288.848266461248	-898.486703334074	-1187.33496979532
CPCG0490	334.981597702058	282.310918230434	617.292515932492
CPCG0492	-312.260403041743	-891.402229300759	-1203.6626323425
CPCG0493	-207.905986317712	-470.189750609553	-678.095736927266
CPCG0496	378.041359622783	-42.8576418314838	335.183717791299
CPCG0498	-21.0873756337073	-287.546728803489	-308.634104437196
CPCG0499	-102.879019726642	-319.757632242192	-422.636651968833
CPCG0500	-551.122723749325	-922.476640035121	-1473.59936378445
CPCG0502	-1.45823744846416	-388.351736426334	-389.809973874798
CPCG0503	438.82953651806	117.490017648444	556.319554166504
CPCG0504	96.3614406057681	-194.839376444282	-98.4779358385143
CPCG0508	186.62073115107	-550.319548132051	-363.698816980981
CPCG0509	-14.7197089711532	-540.650196160816	-555.369905131969
CPCG0524	-80.0007408383026	-459.62300434456	-539.623745182863
CPCG0525	192.735817396953	-241.425968959739	-48.6901515627863
CPCG0526	132.303972779117	-389.581560895006	-257.277588115889
CPCG0527	-53.2098816745265	-147.325859589159	-200.535741263686
